序号,产品名,当前轮次,成立日期,所属城市,产品介绍,所属企业,tag
11,Cadence,IPO,1988-01-01,-,Cadence成立于1998年，是全球电子设计自动化（EDA）软件领域的领导者，电子设计产业的关键领袖，针对半导体和系统公司，提供业内全面的、高度集成的端到端解决方案，业务覆盖定制IC设计和仿真、数字IC设计和合演、功能验证、IP、系统设计和分析等，拥有Pspice、Allegr...(由CN10/CNPP品牌研究员专业测评),铿腾电子科技有限公司,上海合见工业软件集团股份有限公司
12,弈芯科技,A轮,2021-08-16,杭州市,弈芯科技成立于2021年，是一家集成电路服务提供商，专注于打造下⼀代EDA全流程设计云服务平台，公司致力于EDA大规模并行软件产品的设计及开发、EDA云服务、芯片设计服务和EDA软件产品销售。通过自主研发和商业模式创新，提供EDA解决方案，为合作伙伴提供安全可靠的产品服务。,弈芯科技（杭州）有限公司,上海合见工业软件集团股份有限公司
13,伴芯科技,Pre-A轮,2020-10-28,上海市,伴芯科技是一家SoC设计服务商，主要基于自有的EDA工具链，为用户提供全流程SoC设计及流片量产全流程解决方案。,上海伴芯科技有限公司,上海合见工业软件集团股份有限公司
14,芯聚科技,天使+轮,2021-08-20,珠海市,芯聚科技成立于2021年8月，致力于EDA工具的研发、销售和技术服务。将助力自动驾驶、5G通讯、人工智能等多领域的发展，为不同领域的芯片设计企业提供安全可靠的解决方案与技术服务。目前推出了新一代芯片可靠性签核工具CURATOR（鲁班），具有全自动ECO功能。,珠海芯聚科技有限公司,上海合见工业软件集团股份有限公司
15,图元软件,未融资,2011-01-04,上海市,图元软件是一家专业的芯片与电子系统设计整合服务提供商，公司旗下的产品和服务涵盖电子设计工具软件（EDA）、芯片设计、验证与认证外包服务、集成电路和嵌入式设计培训等，致力于主要服务集成电路设计、航空机载电子、航天电子、汽车电子和医疗电子等行业客户。,上海图元软件技术有限公司,上海合见工业软件集团股份有限公司
16,玖熠半导体,A轮,2021-02-01,无锡市,玖熠半导体成立于2021年，是一家致力于自主知识产权半导体EDA软件产品研发的高科技专业企业。专注于从事芯片设计辅助软件的研发、生产及销售，并提供ATPG、L-BIST以及Boundary Scan等产品，致力于为行业用户提供相关的芯片设计解决方案。同时开发了EDA项目。,无锡玖熠半导体科技有限公司,上海合见工业软件集团股份有限公司
17,华大九天,IPO,2009-05-26,北京市,华大九天成立于2009年，一直聚焦于EDA工具的开发、销售及相关服务业务，致力于成为全流程、全领域、全球前沿的EDA提供商。         华大九天主要产品包括模拟电路设计全流程EDA工具系统、存储电路设计全流程EDA工具系统、射频电路设计全流程EDA工具系统、数字电路设计EDA工具、平板显示电路设计全流程EDA工具系统、晶圆制造EDA工具和先进封装设计EDA工具等软件，并围绕相关领域提供技术开发服务。产品和服务主要应用于集成电路设计、制造及封装领域。,北京华大九天科技股份有限公司,上海合见工业软件集团股份有限公司
18,芯无双,Pre-A轮,2022-05-26,上海市,芯无双是一个EDA工具开发商，专注于制造端集成电路电子设计自动化（EDA）工具开发，积极融入国产自主化芯片制造生态，致力于为晶圆厂客户提供可以信赖的工具。,上海芯无双仿真科技有限公司,上海合见工业软件集团股份有限公司
19,錾芯半导体,天使轮,2021-12-15,珠海市,錾芯半导体成立于2021年12月，是一家高性能集成电路设计服务提供商，主营业务包括FPGA芯片，PCB板卡，EDA软件租赁和设计服务。公司通过EDA技术创新以相同芯片成本实现大幅性能提升，相当于在28纳米成熟工艺上实现超过传统集成电路设计方法在3纳米先进工艺上实现的性能。基于专利技术自研EDA软件;基于该EDA软件研发并实现了28纳米FPGA芯片流片。产品应用领域包括消费电子、视频处理、5G通信、电力电网、人工智能异构计算加速，区块链安全可信计算等。,珠海錾芯半导体有限公司,上海合见工业软件集团股份有限公司
20,日观芯设,Pre-A轮,2021-04-12,深圳市,日观芯设成立于2021年4月，总部位于上海，是一家专注于数字集成电路EDA后端设计签核(signoff)的软件研发和本地化服务供应商，愿景是成为国内数字后端全流程EDA开发的领导者，达到并超越国际水平。,深圳日观芯设自动化有限公司,上海合见工业软件集团股份有限公司
1,华锐风电,IPO,2006-02-09,北京市,华锐风电是一家风电设备生产制造商，自主开发、设计、制造和销售适应不同风资源和环境条件的大型陆地、海上和潮间带风电机组，并自主开发出5MW、6MW系列风电机组，致力于成为新能源综合解决方案提供商。,华锐风电科技（集团）股份有限公司,上海电气风电集团股份有限公司
2,久和能源,未融资,2014-11-28,鄂尔多斯市,公司主营业务包括：大型风力发电机组及其零部件的研发、制造、销售以及进出口业务；风力发电系统的技术服务与咨询。,内蒙古久和能源装备有限公司,上海电气风电集团股份有限公司
